code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
CocoaPods,repo,README.md,-,-,-,-,12,12,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/abstracts/Getting Started.md#L45
GitHub,repo,README.md,6,4,4,4,3,3,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/abstracts/Getting Started.md#L33
JacquardSDK,repo,README.md,77,80,80,80,205,208,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/jazzy.yaml#L19
JacquardSDKAndroid,repo,README.md,1,1,1,1,1,1,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/abstracts/Getting Started.md#L12
JacquardSDKiOS,repo,README.md,11,10,10,12,12,14,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/jazzy.yaml#L25
LICENSE,repo,README.md,42,41,41,41,195,195,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/jazzy.yaml#L7
LLC,repo,README.md,38,37,37,37,190,190,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/jazzy.yaml#L1
Next,repo,README.md,-,-,-,-,5,-,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/b86f49269e93d099be28ab53497c678173d43574/docs/abstracts/Getting Started.md#L68
Package.swift,repo,README.md,-,-,-,-,1,3,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/Integration.md#L66
Podfile,repo,README.md,-,-,-,-,15,15,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/Tutorial.md#L96
SDK,repo,README.md,107,104,104,104,82,82,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/abstracts/Getting Started.md#L3
URL,repo,README.md,-,-,-,-,48,50,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/Integration.md#L56
https://github.com/google/JacquardSDKiOS.git,repo,README.md,-,-,-,-,2,3,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/abstracts/Getting Started.md#L50
iOS,repo,README.md,71,68,68,68,94,94,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/abstracts/Tags.md#L23
"package(name: ""JacquardSDK"", url: ""https://github.com/google/JacquardSDKiOS.git"", from: ""0.2.0"")",repo,README.md,-,-,-,-,0,1,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/Integration.md#L74
"target(name: ""MyTarget"", dependencies: [""JacquardSDK""])",repo,README.md,-,-,-,-,0,1,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/README.md,https://github.com/google/JacquardSDKiOS/blob/6f93fdab810fde2a5a16b28fbd1ff6559a9b3bf8/docs/Integration.md#L77
