code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,doc_link,source_link
ANY,repo,README.md,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L154
API,repo,README.md,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,35,35,35,35,44,46,46,47,59,59,59,61,61,61,61,61,61,61,61,61,70,70,70,70,70,72,73,73,73,73,73,73,73,73,73,73,73,73,76,76,76,76,76,86,86,86,86,86,93,93,102,102,102,102,102,102,102,102,102,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,105,104,104,106,106,111,111,111,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/trust-model/trust_techniques.md#L4
AS,repo,README.md,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L153
ASTRAPIA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/proposals/astrapia/README.md#L1
BASIS,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L153
CONDITIONS,repo,README.md,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L13
FLEDGE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,93,93,93,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/trust-model/trust_techniques.md#L4
IP,repo,README.md,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/trust-model/tee/README.md#L398
IS,repo,README.md,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L153
KIND,repo,README.md,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L154
