code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
@article,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/data.md#L79
ADAM,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/launch.py#L94
BibTeX,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/data.md#L76
CELLMASK_CONFOCAL,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/test_util.py#L51
CPU,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/controller.py#L233
DAPI_CONFOCAL,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/visualize_test.py#L49
DIC,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/test_util.py#L46
EVAL_EVAL,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/launch.py#L51
GPU,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/controller.py#L233
INFER_FULL,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/README.md,https://github.com/google/in-silico-labeling/blob/5db882bfab3a1409caca1c4a913c3aa7471c9a3a/isl/launch.py#L58
