code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
AEAD,repo,README.md,7,7,7,7,6,6,6,6,6,6,6,6,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/bindings/crypto_test.cc#L1429
AES,repo,README.md,7,7,8,8,11,11,11,11,11,11,11,11,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/algs/crypt/openssl_aead.h#L24
API,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/key_management/keyset_manager.h#L33
AdvancedKeysetManager,repo,README.md,23,23,37,37,39,38,38,38,38,38,38,38,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/key_management/keyset_manager_test.cc#L241
CrunchyCrypt,repo,README.md,201,207,221,222,228,229,229,230,230,230,230,251,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/util/status.h#L1
EAX,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/algs/crypt/aes_eax.h#L22
ECDSA,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,2,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/java/src/main/java/com/google/security/crunchy/internal/algs/sign/P256EcdsaSignerFactory.java#L25
GCM,repo,README.md,3,3,4,4,4,4,4,4,4,4,4,4,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/algs/crypt/openssl_aead.h#L24
HKDF,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/algs/kdf/hkdf.h#L36
HMAC,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/algs/mac/openssl_hmac_test.cc#L293
KeysetManager,repo,README.md,39,39,44,44,47,47,47,49,49,49,49,49,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/testing/basic_signing_test.cc#L37
LICENSE,repo,README.md,211,217,225,226,223,224,224,225,225,225,225,246,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/util/status.h#L7
MACs,repo,README.md,0,0,0,0,1,1,1,1,1,1,1,1,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/key_management/algorithms.h#L21
RSA,repo,README.md,31,31,34,34,38,49,54,58,58,58,58,58,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/algs/sign/signer_interface.h#L26
SHA256,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/internal/algs/sign/rsa.h#L63
crunchy_crypter,repo,README.md,10,10,14,14,14,14,14,14,14,14,14,14,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/testing/basic_aead_test.cc#L21
crunchy_hybrid_crypter,repo,README.md,9,9,11,11,11,11,11,13,13,13,13,13,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/testing/basic_hybrid_test.cc#L21
crunchy_macer,repo,README.md,8,8,10,10,10,10,10,10,10,10,10,10,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/testing/basic_macing_test.cc#L21
crunchy_signer,repo,README.md,8,8,10,10,10,10,10,10,10,10,10,10,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/testing/basic_signing_test.cc#L21
key_management,repo,README.md,154,154,185,185,215,215,215,225,225,225,225,225,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/testing/basic_signing_test.cc#L23
keyset_serialization,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/crunchy/blob/d90c1e642b662603d244b59172d77e747af44d8e/README.md,https://github.com/google/crunchy/blob/9d241ffd619889ed9855e2cf41dc0c5485a7148c/crunchy/key_management/keyset_serialization_test.cc#L15
