code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
AuthMethod,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L360
BufferSize,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect.go#L193
ChangeCheck,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L568
CheckDuration,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L349
CheckDuration(d time.Duration),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect.go#L71
CircleCI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/.circleci/config.yml#L31
ClientConfig,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L358
DebugCheck,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L446
"Dial(network, addr)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/examples/newspawner/telnet.go#L51
"Errorf(""%s: Expect(%q,%v)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L1148
"Errorf(""%s: SpawnFake failed: %v"", tst.name, err)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L1142
ExampleVerbose,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L587
