code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
.build(),repo,README.md,92,92,92,92,92,92,92,92,92,92,92,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/CallTest.java#L106
.execute(),repo,README.md,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/CallTest.java#L207
.string(),repo,README.md,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordingCallback.java#L41
Accept-Encoding,repo,README.md,-,-,-,-,-,-,-,12,12,12,12,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/CallTest.java#L1184
Call,repo,README.md,53,53,53,53,53,53,53,53,53,53,53,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordingCallback.java#L33
Call.Factory,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/CallTest.java#L73
CronetEngine,repo,README.md,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/java/com/google/samples/cronet/okhttptransport/HttpClientHolder.java#L30
IOException,repo,README.md,126,126,126,126,126,126,128,128,128,128,128,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordingCallback.java#L21
OkHttp,repo,README.md,59,59,59,59,59,59,60,60,60,60,60,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/CallTest.java#L714
OkHttpClient,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/javatests/com/google/net/cronet/okhttptransport/CronetInterceptorEndToEndTest.java#L35
