code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,doc_link,source_link
.pkl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_preprocessing.py#L179
2D,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_preprocessing.py#L37
3D,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_estimate_smpl.py#L65
AIST,repo,README.md,1,5,7,11,14,19,19,21,21,21,21,23,26,26,21,21,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,30,36,44,48,50,54,62,62,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/setup.py#L23
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/setup.py#L23
COCO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_estimate_keypoints.py#L86
SMPL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,21,21,27,27,27,27,27,27,27,27,27,27,26,25,28,28,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_estimate_smpl.py#L15
SMPLMesh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/demos/run_vis.py#L47
anno_dir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,23,23,23,23,25,28,28,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_segmentation.py#L34
gWA_sFM_c01_d27_mWA2_ch21,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/demos/extract_motion_feats.py#L36
ignore_list,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/aist_plusplus/loader.py#L38
keypoints_dir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_preprocessing.py#L35
run_estimate_keypoints,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/demos/run_openpose_pipeline.sh#L7
run_estimate_smpl.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/demos/run_openpose_pipeline.sh#L8
run_preprocessing.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/demos/run_openpose_pipeline.sh#L6
save_dir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,21,23,23,23,22,22,22,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_segmentation.py#L42
smpl_dir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,9,9,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_estimate_smpl.py#L44
video_dir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,8,8,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_segmentation.py#L38
video_name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,24,28,29,29,24,31,31,https://github.com/google/aistplusplus_api/blob/091f00b24505d0b6635ffb2cd0eaeccdfda4ed86/README.md,https://github.com/google/aistplusplus_api/blob/2dd7b3e946b794fd0081c98e2e2433545abf8b87/processing/run_segmentation.py#L82
