code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,doc_link,source_link
CN,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/go-p11-kit/blob/88c0bb6b9470e4ad483d998758444ce11a5a3caa/README.md,https://github.com/google/go-p11-kit/blob/29bc85e76ac224277dd70b5f4081331eb9cbf2de/p11kit/p11kit_test.go#L69
PKCS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,23,24,24,24,24,25,24,25,25,25,25,25,25,26,26,26,26,26,27,27,27,27,27,https://github.com/google/go-p11-kit/blob/88c0bb6b9470e4ad483d998758444ce11a5a3caa/README.md,https://github.com/google/go-p11-kit/blob/29bc85e76ac224277dd70b5f4081331eb9cbf2de/p11kit/p11kit_test.go#L339
RPC,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-p11-kit/blob/88c0bb6b9470e4ad483d998758444ce11a5a3caa/README.md,https://github.com/google/go-p11-kit/blob/29bc85e76ac224277dd70b5f4081331eb9cbf2de/p11kit/p11kit.go#L17
RSA,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/go-p11-kit/blob/88c0bb6b9470e4ad483d998758444ce11a5a3caa/README.md,https://github.com/google/go-p11-kit/blob/29bc85e76ac224277dd70b5f4081331eb9cbf2de/p11kit/p11kit_test.go#L339
unix:path,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/go-p11-kit/blob/88c0bb6b9470e4ad483d998758444ce11a5a3caa/README.md,https://github.com/google/go-p11-kit/blob/29bc85e76ac224277dd70b5f4081331eb9cbf2de/scripts/conformance.sh#L17
