code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
<memory>,repo,README.md,-,-,-,-,-,-,3,3,3,3,3,3,3,3,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/benchmarks/priority_queue.cc#L17
CTTK,repo,README.md,33,33,33,33,33,33,33,33,33,33,33,33,32,32,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/runtime/runtime.h#L31
DoublyLinked,repo,README.md,-,-,-,-,-,-,-,21,21,21,21,21,21,21,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/tree.rn#L45
Human,repo,README.md,-,-,-,-,-,-,-,5,5,5,5,5,5,5,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L38
"Human(""Abel"", eve, adam)",repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L44
"Human(""Adam"")",repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L41
"Human(""Alice"", eve, adam)",repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L45
"Human(""Cain"", eve, adam)",repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L43
"Human(""Eve"")",repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L42
"Human(""Malory"", alice, abel)",repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L47
"Human(self, name: string, mother: Human = null, father: Human = null)",repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/tests/human.rn#L15
MAC,repo,README.md,-,-,-,-,-,-,4,4,4,4,4,4,4,4,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/crypto_class/session3.stdout#L2
NOTE,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/runtime/runtime.h#L54
Node(),repo,README.md,-,-,-,-,-,-,6,-,-,-,-,-,-,-,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/1cb1b907c63887792f4d0ff032fb82d4e14e9652/database/Rune.dd#L122
Node(self),repo,README.md,-,-,-,-,-,-,1,-,-,-,-,-,-,-,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/1cb1b907c63887792f4d0ff032fb82d4e14e9652/benchmarks/binary_trees.rn#L15
OneToOne,repo,README.md,-,-,-,-,-,-,9,-,-,-,-,-,-,-,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/1cb1b907c63887792f4d0ff032fb82d4e14e9652/tests/onetoonetest.rn#L28
PATH,repo,README.md,1,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/rune/blob/5fc1f142a8eebbc836faf5fa6778f2b69dbe653c/README.md,https://github.com/google/rune/blob/e69d9357fea6fe50e370d54d41a3ef1d318e2ec8/src/rune.c#L37
