code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
CrawlMaze,repo,README.md,64,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/5c225690868ecd955d1307cc1559f766a3958676/test-cases/javascript/index.html#L3
Dockerfile,repo,README.md,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,code_element is a file name
HTML,repo,README.md,11,11,11,11,11,11,11,11,13,7,7,7,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/html/manifest.html#L5
JS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/angular/src/polyfills.ts#L56
LICENSE,repo,README.md,3,3,3,6,6,7,7,7,7,7,7,7,8,8,8,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/polymer/src/polymer-router.js#L4
NOT,repo,README.md,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/angular/src/polyfills.ts#L27
app.py,repo,README.md,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/eecd4b09213b8d8ccfabc9e5940257b1a3f926cc/Dockerfile#L19
blueprints/utils/resources/expected-results.json,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,code_element is a file name
expected-results.json,repo,README.md,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/89654c0021965db0661af1db5bf240f0a1682ce5/blueprints/utils/__init__.py#L29
href,repo,README.md,116,117,117,117,117,123,135,141,121,46,39,39,43,43,43,47,48,51,51,51,51,51,51,59,59,59,59,59,59,59,59,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/polymer/src/my-app.js#L47
