code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,doc_link,source_link
$WORKSPACE,repo,README.md,0,0,0,0,0,0,2,4,6,6,6,6,10,15,15,15,15,15,16,16,16,21,21,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,29,31,32,32,32,32,32,32,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_resource.sh#L16
--user,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/USERGUIDE.md#L17
.analytic.ndjson,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_base_resources_to_bq.sh#L30
.schema.json,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/java/com/google/fhirexamples/GenerateBigQuerySchema.java#L40
BigQuery,repo,README.md,0,0,0,0,0,0,0,0,-,-,-,-,-,8,9,9,9,9,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_resource.sh#L16
EXAMPLES,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/USERGUIDE.md#L12
FHIR,repo,README.md,2,2,2,2,2,2,4,22,23,23,23,23,27,41,43,29,9,9,9,10,11,16,16,58,183,183,183,183,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/proto/google/fhir_examples/myprofile/profiles.prototxt#L4
FhirProto,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/java/com/google/fhirexamples/ParsePatients.java#L66
JSON,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,6,10,10,37,37,37,37,37,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/py/google/fhir_examples/json_format_example.py#L15
NDJSON,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/USERGUIDE.md#L195
