code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,doc_link,source_link
GCS,repo,README.md,11,11,11,12,12,12,15,15,15,15,15,14,14,19,19,19,19,19,19,19,19,18,18,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,https://github.com/google/weasel/blob/9eec8ba7d99ccdfde990ed5ac43b13e584930e99/README.md,https://github.com/google/weasel/blob/8459e871838d4c80335cc000dcf2d261795beb96/storage_test.go#L39
GET,repo,README.md,4,4,5,6,6,6,13,13,13,13,13,12,12,15,15,15,16,16,16,16,16,20,20,20,20,21,21,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/weasel/blob/9eec8ba7d99ccdfde990ed5ac43b13e584930e99/README.md,https://github.com/google/weasel/blob/8459e871838d4c80335cc000dcf2d261795beb96/storage_test.go#L48
HTTP,repo,README.md,0,0,0,0,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/weasel/blob/9eec8ba7d99ccdfde990ed5ac43b13e584930e99/README.md,https://github.com/google/weasel/blob/8459e871838d4c80335cc000dcf2d261795beb96/object.go#L61
SDK,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/weasel/blob/9eec8ba7d99ccdfde990ed5ac43b13e584930e99/README.md,https://github.com/google/weasel/blob/a785d75dfea6c0f0233711e878a216038400de35/.drone.yml#L10
goapp,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/weasel/blob/9eec8ba7d99ccdfde990ed5ac43b13e584930e99/README.md,https://github.com/google/weasel/blob/a785d75dfea6c0f0233711e878a216038400de35/.drone.yml#L19
