code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
6B,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/squad/prepro.py#L50
BiDAF,repo,README.md,38,38,38,38,38,39,39,39,39,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/searchqa/prepro.py#L84
GPU,repo,README.md,7,7,7,7,7,7,7,7,7,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/nmt/utils/misc_utils.py#L137
NLTK,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/environments/docqa_server.py#L47
SearchQA,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/searchqa/prepro.py#L16
UN,repo,README.md,6,6,6,6,6,6,6,6,6,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/data/spm2/spm.unigram.16k.vocab.nocount.notab.target#L1341
batch_size_eval,repo,README.md,3,3,3,3,3,3,3,3,3,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/nmt/reformulator_and_selector_training.py#L61
batch_size_train,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/nmt/reformulator_and_selector_training.py#L60
bi_att_flow,repo,README.md,28,28,28,28,28,28,28,28,28,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/squad/prepro.py#L30
bidaf_model_dir,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/environments/bidaf_server.py#L45
bidaf_shared_file,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/environments/bidaf_server.py#L44
data_dir,repo,README.md,-,-,-,-,-,-,-,18,18,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/basic/read_data.py#L183
dev_annotations,repo,README.md,23,23,23,23,23,23,23,23,23,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/nmt/train_combined.py#L85
dev_data,repo,README.md,-,-,-,-,-,-,4,4,4,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/squad/prepro.py#L69
dev_questions,repo,README.md,5,5,5,5,5,5,5,5,5,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/nmt/reformulator_and_selector_training.py#L54
enable_reformulator_training,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/nmt/reformulator_and_selector_training.py#L79
enable_selector_training,repo,README.md,5,5,5,5,5,5,5,5,5,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/nmt/reformulator_and_selector_training.py#L81
environment_server_address,repo,README.md,8,8,8,8,8,8,8,8,8,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/nmt/reformulator_and_selector_training.py#L48
gRPC,repo,README.md,8,8,8,8,8,8,8,8,8,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/px/proto/reformulator.proto#L129
glove_dir,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/squad/prepro.py#L45
glove_path,repo,README.md,6,6,6,6,6,6,6,6,6,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/squad/prepro.py#L106
hparams_path,repo,README.md,19,19,19,19,19,19,19,19,19,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/nmt/utils/misc_utils.py#L103
init_lr,repo,README.md,-,-,-,-,-,-,-,1,1,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/basic/cli.py#L49
model_checkpoint_path,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/basic/graph_handler.py#L60
num_steps,repo,README.md,-,-,-,-,-,-,-,7,7,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/README.md,https://github.com/google/active-qa/blob/bd96fab78255b8ef4f1147f78bd571abf2b919b3/third_party/bi_att_flow/basic/read_data.py#L132
