code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,doc_link,source_link
.unwrap(),repo,README.md,.,.,.,.,.,.,.,.,.,15,11,11,11,20,24,24,27,27,27,27,27,27,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L26
AsRawFd,repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L22
CommandFdExt,repo,README.md,.,.,.,.,.,.,.,.,.,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L20
FD,repo,README.md,.,.,.,.,.,.,.,.,.,11,11,11,11,14,14,14,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L33
FdMapping,repo,README.md,.,.,.,.,.,.,.,.,.,14,11,11,11,19,19,19,20,20,20,20,19,19,19,19,19,19,19,19,19,19,23,23,23,23,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/tokio.rs#L6
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,.,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L7
"arg(""-l"")",repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L30
"arg(""/proc/self/fd"")",repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,5,5,5,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L30
child.wait(),repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L48
child_fd,repo,README.md,.,.,.,.,.,.,.,.,.,15,13,13,13,21,21,21,24,24,24,24,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L36
command.spawn(),repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L47
command_fds,repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L20
fd_mappings,repo,README.md,.,.,.,.,.,.,.,.,.,5,4,4,4,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/tokio.rs#L14
file,repo,README.md,.,.,.,.,.,.,.,.,.,28,25,25,25,29,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,35,35,35,35,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/tokio.rs#L8
file.as_raw_fd,repo,README.md,.,.,.,.,.,.,.,.,.,4,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L35
"new(""ls"")",repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,6,6,6,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L29
"open(""Cargo.toml"")",repo,README.md,.,.,.,.,.,.,.,.,.,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L26
parent_fd,repo,README.md,.,.,.,.,.,.,.,.,.,13,11,11,11,19,19,19,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/command-fds/blob/9a9a05cfe70eec047c1afcfa078f2cb7ce9ff196/README.md,https://github.com/google/command-fds/blob/78ff9834f79749fdfaf8df255737cf91f232636d/src/lib.rs#L35
