code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,doc_link,source_link
ACCESS_CHECKER,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L42
ACCESS_CHECKER=list,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/3694bd063d123f5111267fbafc651d24f472bbf0/docker/hapi-proxy-compose.yaml#L28
ALLOWED_QUERIES_FILE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L47
AccessChecker,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,75,75,75,75,75,75,75,75,75,77,77,77,77,77,77,77,77,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/interfaces/AccessCheckerFactory.java#L26
AllowedQueriesChecker,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,23,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/BearerAuthorizationInterceptorTest.java#L137
DEV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L51
FHIR,repo,README.md,12,12,12,12,12,12,16,16,17,18,20,20,20,20,20,24,25,25,25,25,28,35,35,35,35,35,35,36,36,36,36,36,36,36,40,45,45,48,48,49,49,49,51,51,53,56,56,56,75,75,74,74,74,76,73,73,73,73,73,73,73,73,73,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/resources/capability.json#L16
FHIR_PASS,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/67e741d39bfd91478b92d8c94b38bfe0baf53bfe/docker/keycloak/keycloak_setup.sh#L18
FHIR_USER,repo,README.md,-,-,-,-,-,-,-,-,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/67e741d39bfd91478b92d8c94b38bfe0baf53bfe/docker/keycloak/keycloak_setup.sh#L17
GCP,repo,README.md,-,-,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/ProxyConstants.java#L23
