code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,doc_link,source_link
DSPL,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85,84,84,84,84,92,92,92,92,93,93,93,93,93,93,93,93,99,99,110,110,110,108,111,112,112,112,112,113,113,113,114,114,114,114,114,114,116,118,118,118,118,119,119,119,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,https://github.com/google/dspl/blob/db79dad685276dbf98ca44b875d1481bc240c5c1/tools/dspltools/setup.py#L17
GitHub,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,https://github.com/google/dspl/blob/db79dad685276dbf98ca44b875d1481bc240c5c1/docs/index.md#L12
XML,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,109,109,109,109,109,109,109,112,112,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,https://github.com/google/dspl/blob/db79dad685276dbf98ca44b875d1481bc240c5c1/tools/dspltools/scripts/dsplcheck_test.py#L96
docs/dspl2-spec.md,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,code_element is a file name
lxml,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,https://github.com/google/dspl/blob/db79dad685276dbf98ca44b875d1481bc240c5c1/tools/dspltools/requirements.txt#L1
minixsv,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,https://github.com/google/dspl/blob/dbcf04fa4a9ade8a95a9824e30b6b88f9ebb4742/tools/dspltools/packages/dspllib/validation/xml_validation.py#L58
setup.py,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,code_element is a file name
tools/dspl2,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,https://github.com/google/dspl/blob/b1fdf2d7f7c0bf42c0383ddb801f0e798116141a/README.md,https://github.com/google/dspl/blob/db79dad685276dbf98ca44b875d1481bc240c5c1/docs/index.md#L16
