code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
API,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/README.md,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/jacs/features.py#L31
CloudSQL,repo,README.md,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/README.md,https://github.com/google/jacs/blob/0d7acc2dadef32960271b9f55f4153fdbb0d9050/api.py#L48
LICENSE,repo,README.md,4,4,4,3,3,3,3,6,6,6,6,6,6,6,6,6,6,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/README.md,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/jacs/geometry_util.py#L7
SDK,repo,README.md,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/README.md,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/app.yaml#L28
SQL,repo,README.md,-,-,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/README.md,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/jacs/features.py#L39
TODO,repo,README.md,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/README.md,https://github.com/google/jacs/blob/0d7acc2dadef32960271b9f55f4153fdbb0d9050/app.yaml#L6
IP,wiki,Deployment-guide.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/jacs/wiki/Deployment-guide/21dd9500ec4d7c849aef571f1dae4cfb87541923,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/api.py#L68
SDK,wiki,Deployment-guide.md,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/jacs/wiki/Deployment-guide/21dd9500ec4d7c849aef571f1dae4cfb87541923,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/app.yaml#L28
SQL,wiki,Deployment-guide.md,.,.,.,.,.,4,4,3,3,3,3,3,4,4,4,4,4,https://github.com/google/jacs/wiki/Deployment-guide/21dd9500ec4d7c849aef571f1dae4cfb87541923,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/jacs/features.py#L39
jacs,wiki,Deployment-guide.md,.,.,.,.,.,0,0,3,3,3,3,3,3,3,3,3,3,https://github.com/google/jacs/wiki/Deployment-guide/21dd9500ec4d7c849aef571f1dae4cfb87541923,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/api.py#L53
API,wiki,Home.md,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/jacs/wiki/Home/cd716b76517211cdc6be86f36f4217cf1b2f52a5,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/jacs/features.py#L31
GeoJSON,wiki,Home.md,.,.,.,.,.,8,8,11,11,11,11,11,11,11,11,11,11,https://github.com/google/jacs/wiki/Home/cd716b76517211cdc6be86f36f4217cf1b2f52a5,https://github.com/google/jacs/blob/f8d1deeb3293cc994f5ba3b8acc3e9862f39cee2/jacs/geometry_util.py#L32
