code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
"""0""",repo,README.md,1,1,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L77
"""10""",repo,README.md,1,1,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L82
"""20""",repo,README.md,1,1,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L87
"""false""",repo,README.md,2,2,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L38
"""pci""",repo,README.md,5,5,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L72
"""python37""",repo,README.md,1,1,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L67
"""scc-health""",repo,README.md,1,1,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L56
"""scc_helper_updated""",repo,README.md,1,1,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L61
"""true""",repo,README.md,2,2,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L33
"""us-central1""",repo,README.md,1,1,https://github.com/google/terraform-google-security-health-checker/blob/6f32848f2e9e43d42e94513f25c7bfe04040b6dc/README.md,https://github.com/google/terraform-google-security-health-checker/blob/2089529d9f0985a5433320f560fc6c20e39c5cf1/variables.tf#L28
