code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,doc_link,source_link
CI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/.github/workflows/stack-ci.yml#L15
DerivingVia,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray/test/Main.hs#L17
HughesPJClass,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-pretty/src/Data/Portray/Pretty.hs#L61
MyType,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray/src/Data/Portray.hs#L478
Portray,repo,README.md,-,-,-,-,99,99,99,99,100,103,105,105,114,117,117,152,157,162,161,162,164,168,168,168,168,168,169,169,169,183,213,213,219,219,221,221,221,221,221,221,222,222,222,222,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,227,227,227,227,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray/test/Main.hs#L35
PrettyPrint,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,5,6,6,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-pretty/src/Data/Portray/Pretty.hs#L61
WrappedPortray,repo,README.md,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L64
WrappedPortray(..),repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L97
portray,repo,README.md,-,-,-,-,32,32,32,32,32,36,38,38,90,96,100,120,137,154,154,157,160,160,162,162,162,158,158,158,158,167,197,197,205,206,207,207,207,207,207,207,209,209,209,209,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,206,206,206,206,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/stack.yaml#L18
portray-pretty,repo,README.md,-,-,-,-,6,6,6,6,6,6,6,6,6,8,8,10,12,14,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/stack.yaml#L22
portray/README.md,repo,README.md,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,code_element is a file name
pp,repo,README.md,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,8,8,8,8,17,17,17,17,17,17,17,17,17,17,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L25
prettyShow,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-pretty/src/Data/Portray/Pretty.hs#L61
putStrLn,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L118
showPortrayal,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L25
wrapped,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/stack.yaml#L27
