code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,doc_link,source_link
GitHub,repo,README.md,-,-,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/src/github.js#L150
HTML,repo,README.md,11,11,11,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,0,0,0,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/4bfcf4067ab7f92b8a399c7fc60d1148541e5b6b/test/fixtures/sync2.json#L246
IS,repo,README.md,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,9,9,9,9,9,9,9,9,9,9,8,10,10,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/yarn.lock#L1
KIND,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L12
LICENSE,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L8
LOG_LEVEL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/index.js#L29
NODE_ENV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/gce/startup-script.sh#L75
OF,repo,README.md,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,9,9,9,9,9,9,9,9,8,10,10,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L12
OR,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L12
OWNER,repo,README.md,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/0ae0577710f510608f3a709f18936cf6be1cdc16/src/owner.js#L24
OWNERS,repo,README.md,-,-,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16,16,18,18,18,18,18,20,20,20,20,20,20,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L51
REPO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/c0096d84b646da88eb839bf83f74e5e4392a2fd0/gce/startup-script.sh#L18
REPO_DIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/gce/startup-script.sh#L20
WARRANTIES,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L12
WITHOUT,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L12
amp-owners-bot,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/fixtures/check-runs/check-runs.get.35.multiple.json#L50
github-owners-bot,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,649,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L53
yarn,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/yarn.lock#L2
