code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,doc_link,source_link
BOOL,repo,README.md,-,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/Source/MOLCodesignChecker/MOLCodesignChecker.m#L272
BUILD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,code_element is a file name
CocoaPods,repo,README.md,-,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,0,0,0,0,0,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/66ec01dc23bba9c0c98b3e4d8a0fcb1947229a4d/MOLCodesignChecker.xcodeproj/project.pbxproj#L266
MOLCertificate,repo,README.md,-,13,17,17,15,15,15,15,15,20,20,20,20,20,20,17,17,20,20,20,20,20,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/WORKSPACE#L17
MOLCodesignChecker,repo,README.md,64,64,64,64,64,72,72,72,72,98,98,98,98,99,99,104,113,72,72,72,72,74,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/Tests/MOLCodesignCheckerTest.m#L19
NO,repo,README.md,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,2,2,2,2,2,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/Source/MOLCodesignChecker/MOLCodesignChecker.m#L277
NSString,repo,README.md,-,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,30,30,30,30,30,32,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/Tests/MOLCodesignCheckerTest.m#L124
WORKSPACE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,code_element is a file name
YES,repo,README.md,-,34,34,34,34,34,34,34,34,43,43,43,43,55,55,55,56,2,2,2,2,2,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/Source/MOLCodesignChecker/MOLCodesignChecker.m#L311
git_repository,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/WORKSPACE#L3
initWithSelf,repo,README.md,-,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/Tests/MOLCodesignCheckerTest.m#L67
"load(""@bazel_tools//tools/build_defs/repo:git.bzl"", ""git_repository"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/WORKSPACE#L1
objc_library,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/README.md,https://github.com/google/macops-molcodesignchecker/blob/1fc72bcf6abb35afb17f4c3d30415fb5080a3320/BUILD#L3
