code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
ANY,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L11
AS,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L10
ASF,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/README.md#L74
ASN,repo,README.md,.,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/main/java/com/android/example/KeyAttestationExample.java#L48
BASIS,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L10
CONDITIONS,repo,README.md,.,9,9,9,14,14,17,17,17,17,17,17,19,19,19,19,19,19,19,21,21,21,21,21,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L11
CONTRIBUTING,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/README.md#L67
GitHub,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/README.md#L67
IS,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L10
KIND,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L11
LICENSE,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L7
NOTICE,repo,README.md,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/README.md#L75
OF,repo,README.md,.,8,8,8,13,13,16,16,16,16,16,16,18,18,18,18,18,18,18,20,20,20,20,20,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L11
OR,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L11
WARRANTIES,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L11
WITHOUT,repo,README.md,.,7,7,7,12,12,15,15,15,15,15,15,17,17,17,17,17,17,17,19,19,19,19,19,https://github.com/google/android-key-attestation/blob/c31c5307f2c6c04ca404a7c9473f0723d235aa3a/README.md,https://github.com/google/android-key-attestation/blob/d8b20aab73fa79f787fc493c076241c01bba969e/server/src/test/java/com/google/android/attestation/RootOfTrustTest.java#L11
