code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
CanvasFillRule,repo,README.md,-,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/e8a907f96be0a8710901ee2e76b84960cfd9695b/canvas.d.ts#L1
CanvasRenderingContext2D,repo,README.md,-,38,38,38,38,38,38,46,47,47,47,47,46,46,48,48,48,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/canvasv5.js#L13
HTML,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/package.json#L4
Path2D(),repo,README.md,-,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/test/stroke.js#L46
arcTo,repo,README.md,-,5,5,5,5,5,5,5,7,7,7,7,5,5,5,5,5,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/test/path.js#L51
bezierCurveTo,repo,README.md,-,21,21,21,21,21,21,21,22,22,22,22,21,21,21,21,21,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/test/svgpath.js#L98
closePath(),repo,README.md,-,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/test/path.js#L55
ctx.fill(path),repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/test/fill.js#L39
endAngle,repo,README.md,-,4,4,4,4,4,4,4,7,7,7,7,4,4,4,4,4,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/canvasv5.js#L20
fillRule,repo,README.md,-,22,22,22,22,22,22,22,26,26,26,26,22,22,22,22,22,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/test/fill.js#L25
getContext('2d'),repo,README.md,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/canvas-5-polyfill/blob/416cb48723313814e54077cc5d92aebc3bee89cc/README.md,https://github.com/google/canvas-5-polyfill/blob/dbdaec15ad225bd881c663b8f0fd1c459bd173a0/test/stroke.js#L8
