code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
@abc,repo,README.md,-,18,18,18,18,18,18,18,18,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/search/search_algorithm.py#L24
@data,repo,README.md,-,1,1,1,1,1,1,2,2,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/data/image_data_for_binary.py#L36
API,repo,README.md,-,1,1,1,1,1,1,1,1,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/oss_trainer_lib.py#L163
AVERAGE_POOL_2X2,repo,README.md,-,5,5,5,5,5,5,5,5,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/search/constrained_descent_test.py#L85
AVERAGE_POOL_4X4,repo,README.md,-,4,4,4,4,4,4,4,4,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/configs/cnn_genetic_config.pbtxt#L21
AutoML,repo,README.md,-,1,1,1,1,1,1,1,1,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/phoenix.py#L143
AveragePoolBlock(Block),repo,README.md,-,1,1,1,1,1,1,1,1,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/block.py#L334
"Block(object, metaclass=abc.ABCMeta)",repo,README.md,-,1,1,1,1,1,1,1,0,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/model_search/blocks.py#L50
DNN,repo,README.md,-,58,58,58,58,58,58,58,62,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/task_manager_test.py#L100
FeatureColumn,repo,README.md,-,1,1,1,1,1,1,1,1,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/data/data.py#L86
List,repo,README.md,-,22,22,22,22,22,22,22,24,https://github.com/google/model_search/blob/8c5eed49f2d8aa15688c54b386cb2185ccf6fbe1/README.md,https://github.com/google/model_search/blob/d90bc39994bc2a5f5028035ac954f796eda03310/model_search/search/linear_model.py#L117
