code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
@checkers,repo,README.md,19,19,https://github.com/google/checkers_classic/blob/6081fa629033634651b8815061085d76c2616917/README.md,https://github.com/google/checkers_classic/blob/6081fa629033634651b8815061085d76c2616917/examples/quickstart/subtract_tests.py#L21
LICENSE,repo,README.md,37,37,https://github.com/google/checkers_classic/blob/6081fa629033634651b8815061085d76c2616917/README.md,https://github.com/google/checkers_classic/blob/6081fa629033634651b8815061085d76c2616917/python/validation.py#L7
TestRun,repo,README.md,25,25,https://github.com/google/checkers_classic/blob/6081fa629033634651b8815061085d76c2616917/README.md,https://github.com/google/checkers_classic/blob/6081fa629033634651b8815061085d76c2616917/python/test_run.py#L15
