code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
.dmg,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/planb/main.m#L67
.pkg,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/planb/PBPackageInstaller.m#L116
CA,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/generate-sample-pki.sh#L3
CocoaPods,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,2,2,2,2,2,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/planb.xcodeproj/project.pbxproj#L203
ConfigurationTrack,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/planb/main.m#L31
PBConnectionDelegate.m,repo,README.md,9,9,9,9,0,0,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/e5a33585a9d5d0e9a08e9774f3c8b7c68b33e176/planb/PBConnectionDelegate.m#L4
PBURLBuilder.m,repo,README.md,8,8,8,8,8,8,8,8,0,0,0,0,-,-,-,-,-,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/291cca4d2e91a4a85bfa25f405729982e9bf8820/planb/PBURLBuilder.m#L4
PEM,repo,README.md,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/planb.xcodeproj/project.pbxproj#L186
URL,repo,README.md,3,3,3,3,2,2,2,2,4,4,4,4,4,4,7,7,7,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/planb/main.m#L63
com.megacorp.package1,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops-planb/blob/d413a8874a4bb80253f6d8088c04071c5fb41171/README.md,https://github.com/google/macops-planb/blob/b08be0a59c6514bdf9bac9cc05cf9df97204bbe6/planb/main.m#L40
