code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,doc_link,source_link
JAX,repo,README.md,7,7,7,7,7,7,7,7,7,7,10,10,12,12,12,12,12,12,12,12,12,12,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/setup.py#L51
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/setup.py#L7
PyPI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/.github/workflows/publish.yml#L1
examples/,repo,README.md,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/.github/workflows/unittests.yml#L29
jax.grad(loss_fn),repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/rax/_src/t12n_test.py#L67
loss_fn,repo,README.md,74,74,74,74,77,77,77,77,77,77,77,77,77,77,77,77,77,83,83,83,83,91,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/rax/_src/utils.py#L69
"loss_fn(scores, labels)",repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/rax/_src/t12n_test.py#L47
rax.*_loss,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/docs/api.rst#L3
rax.*_metric,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/docs/api.rst#L29
rax.*_t12n,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rax/blob/09bcafdf7b5ee37233f6d7c7553541643378e6a1/README.md,https://github.com/google/rax/blob/d6370d574246db9fb0566317f7cac8cd331526d7/docs/api.rst#L51
