code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
BUCKET,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/run_training.sh#L56
DATA_DIRECTORY,repo,README.md,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/42bdc0f4518ff8f8556f9be8fc1564fba4d85da6/vae-gan/data/run_training.sh#L23
DCGAN,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/model.py#L113
GAN,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/util.py#L14
GCS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/task.py#L357
JOB_NAME,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/create_model.sh#L22
ML,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/task.py#L14
MODEL_NAME,repo,README.md,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/generate_image.sh#L22
PIL,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/display_image.py#L23
TEMP_DIR,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/generate_image.sh#L25
TFRecords,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/build_image_data.py#L15
TensorFlow,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/build_image_data.py#L29
VAE,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/util.py#L14
create_model,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/task.py#L18
image.resize_images,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/util.py#L82
image_bytes,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/model.py#L316
python_io,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/data/build_image_data.py#L232
run_training,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/README.md,https://github.com/google/generativemloncloud/blob/29c4a7b14b5fababaa4570c9efce07517dd0d79f/vae-gan/trainer/task.py#L151
