code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,doc_link,source_link
HTTP,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/packaging/build_deb#L51
OCSP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L17
SXG,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/index.html#L6
URL,repo,README.md,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/ngx_http_sxg_filter_module.c#L460
add_header,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/93b5a903cb6bbdf2d22696a74ada5ff9f53dca03/test/nginx-sxg.conf#L1
cert-chain+cbor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/ngx_http_sxg_filter_module.c#L1028
config,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/.travis/install_openssl.sh#L9
header-integrity,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/ngx_http_sxg_filter_module.c#L497
https,repo,README.md,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/selfcheck.sh#L10
libsxg,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/6c4d896c22536117c3f42add3b9108031d271ce3/test/Dockerfile#L7
