code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,doc_link,source_link
@inproceedings,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/scaaml_intro/README.md#L18
AES,repo,README.md,3,3,3,3,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,15,15,15,15,15,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/scaaml_intro/key_recovery_demo.ipynb#L657
CON,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/scaaml_intro/README.md#L4
DEF,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/scaaml_intro/README.md#L4
GitHub,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/CONTRIBUTING.md#L21
README,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/setup.py#L19
SCAAML,repo,README.md,6,6,6,6,6,6,6,6,6,6,12,12,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/tests/io/test_dataset.py#L135
TensorFlow,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/.pylintrc#L295
scaaml/,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/scaaml_intro/key_recovery_demo.ipynb#L658
scaaml_intro,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,https://github.com/google/scaaml/blob/0768ec21c90fa22dcd23df78d3a25370d5ad178b/README.md,https://github.com/google/scaaml/blob/09fb7e089c5d4912aaec3b02ed3d9e07cddf7158/tools/run_pylint.sh#L19
