code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,doc_link,source_link
DTLS,repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-book/src/ssm/intro.md#L73
HEAD-SNAPSHOT,repo,README.md,.,-,-,-,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,19,26,26,26,26,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/pom.xml#L8
IS,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,149,149,149,149,149,149,149,149,149,149,149,149,149,149,148,149,149,149,149,149,149,149,149,149,149,149,149,152,152,153,153,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L11
KIND,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,148,148,148,148,148,148,148,148,148,148,148,151,151,152,152,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
LICENSE,repo,README.md,.,109,109,109,109,110,110,111,113,113,113,115,126,130,131,131,133,134,134,134,134,134,134,134,134,134,134,134,137,137,140,140,142,143,143,143,145,149,149,149,149,149,149,149,149,149,149,149,149,149,149,148,149,149,149,149,149,149,149,149,149,149,149,149,152,152,153,153,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L8
MyLightBulb,repo,README.md,.,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,48,48,48,48,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-local/src/test/java/com/google/iot/m2m/local/TestBase.java#L162
OF,repo,README.md,.,109,109,109,109,110,110,111,113,113,113,115,142,146,147,147,149,150,150,150,150,150,150,150,150,150,150,150,153,153,156,156,158,159,159,159,161,165,165,165,165,165,165,165,165,165,165,165,165,165,165,164,165,165,165,165,165,165,165,165,165,165,165,165,168,168,169,169,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
OR,repo,README.md,.,121,121,121,121,122,122,123,125,125,125,127,138,142,143,143,145,146,146,146,146,146,146,146,146,146,146,146,149,149,152,152,154,155,155,155,157,161,161,161,161,161,161,161,161,161,161,161,161,161,161,160,161,161,161,161,161,161,161,161,161,161,161,161,164,164,165,165,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
OSCORE,repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-book/src/ssm/unresolved-issues.md#L9
SMCP,repo,README.md,.,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,27,27,27,27,32,32,42,42,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-base/src/main/java/com/google/iot/m2m/base/Technology.java#L34
SOM,repo,README.md,.,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,24,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-object-model-intro.md#L1
TBD,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/AmbientEnvironmentTrait.java#L58
TODO,repo,README.md,.,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-processor/src/main/java/com/google/iot/m2m/processor/LocalTraitClassBuilder.java#L357
URL,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/AutomationRuleTrait.java#L72
WARRANTIES,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,148,148,148,148,148,148,148,148,148,148,148,151,151,152,152,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
WITHOUT,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,148,148,148,148,148,148,148,148,148,148,148,151,151,152,152,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
artifactId,repo,README.md,.,132,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,162,162,162,162,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/pom.xml#L7
groupId,repo,README.md,.,163,151,151,151,151,151,151,152,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,181,181,181,181,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/pom.xml#L6
pom.xml,repo,README.md,.,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,10,10,10,10,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/CHANGELOG.md#L38
smcp,repo,README.md,.,26,26,26,26,26,26,26,26,27,27,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,33,33,33,44,44,51,51,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-base/src/main/java/com/google/iot/m2m/base/Technology.java#L34
splot-base,repo,README.md,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,14,14,14,15,15,15,15,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/pom.xml#L46
splot-local,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,11,11,11,11,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-local/pom.xml#L10
splot-processor,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/pom.xml#L52
splot-traits,repo,README.md,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/pom.xml#L10
CoAP,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,18,18,31,31,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/ActionsTrait.java#L119
DTLS,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-book/src/ssm/intro.md#L73
FE,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,39,39,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/TransitionTrait.java#L26
NULL,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-local/src/test/java/com/google/iot/m2m/local/rpn/RPNContextTest.java#L464
OSCORE,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-book/src/ssm/unresolved-issues.md#L9
POST,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/AutomationTimerManagerTrait.java#L168
PUT,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,3,3,3,3,3,3,3,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/AutomationTimerManagerTrait.java#L169
SMCP,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,27,27,27,27,32,32,42,42,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-base/src/main/java/com/google/iot/m2m/base/Technology.java#L34
SOM,wiki,SMCP-vs-LwM2M.md,.,.,.,.,.,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,24,https://github.com/google/splot-java/wiki/SMCP-vs-LwM2M/4555ac1dfe39e5e8bc964445c6cf7b6d6e660158,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-object-model-intro.md#L1
