code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,doc_link,source_link
API,repo,README.md,0,17,17,17,17,17,17,17,17,17,17,17,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/web-serial-polyfill/blob/01e7e3c1388ede247c3fb16ca47e84170f9ecd9b/README.md,https://github.com/google/web-serial-polyfill/blob/ca8e91b64131bb646e7d5253d0ac8d96727df8b3/serial.ts#L92
USB,repo,README.md,0,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11,12,12,11,11,11,12,12,12,12,12,12,12,https://github.com/google/web-serial-polyfill/blob/01e7e3c1388ede247c3fb16ca47e84170f9ecd9b/README.md,https://github.com/google/web-serial-polyfill/blob/ca8e91b64131bb646e7d5253d0ac8d96727df8b3/serial.ts#L55
WebUSB,repo,README.md,0,14,14,14,14,14,14,14,14,14,14,14,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/web-serial-polyfill/blob/01e7e3c1388ede247c3fb16ca47e84170f9ecd9b/README.md,https://github.com/google/web-serial-polyfill/blob/ca8e91b64131bb646e7d5253d0ac8d96727df8b3/serial.ts#L200
