code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
--docker-managed,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,3,3,3,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/cmd/main.go#L63
--skip-known-containers,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,-,-,-,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/b6e0e58a996f6fafebb2cd467a0081e7c87147b6/run_test.sh#L236
/mnt/container,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,0,0,0,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/b6e0e58a996f6fafebb2cd467a0081e7c87147b6/run_test.sh#L250
/var/lib/containerd,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,-,-,-,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/b6e0e58a996f6fafebb2cd467a0081e7c87147b6/run_test.sh#L251
/var/lib/containerd/io.containerd.metadata.v1.bolt/meta.db,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/b6e0e58a996f6fafebb2cd467a0081e7c87147b6/ctrmeta/manifest.go#L82
GKE,repo,README.md,-,-,5,5,5,5,5,5,5,5,5,1,1,1,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/cmd/commands/list.go#L149
ID,repo,README.md,10,10,11,12,12,14,14,14,14,14,14,43,43,43,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/explorers/state.go#L27
JSON,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,4,4,4,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/explorers/support_containers.go#L155
VERSION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/cmd/main.go#L28
container-explorer,repo,README.md,9,9,9,10,10,10,10,10,10,10,10,11,11,11,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/README.md,https://github.com/google/container-explorer/blob/cab2a8fc8aefcb086eb305c32b2023bc59653703/go.mod#L1
