code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,doc_link,source_link
nextRunTimezoneCode,repo,README.md,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/77f494c29d7441b72a3520bf26f8c1e1776d88a8/google/gmp/example_dags/dv360_create_sdf_advertisers_report_dag.py#L56
number_of_advertisers_per_sdf_api_call,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_to_bq.py#L25
partner_id,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,33,33,33,33,28,28,28,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/utils/schema/erf/Pixel.py#L46
partner_ids,repo,README.md,3,3,3,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,13,13,13,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/tests/orchestra/google/marketing_platform/operators/test_display_video_360.py#L69
private_entity_types,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/example_dags/example_dv360_erf_to_bq_sequential.py#L39
sdf_api_version,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_to_bq.py#L24
sdf_bq_dataset,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_to_bq.py#L30
sdf_file_types,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_to_bq.py#L22
sendNotification,repo,README.md,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/8af297777621dbc7459b320b9ec2f0a3ab46181b/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_record_advertisers.py#L42
sequential_erf_dag_name,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/example_dags/example_dv360_erf_to_bq_sequential.py#L81
