code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
1-7,repo,README.md,-,2,2,2,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/src/assets/svgs/tensorflow-logo.svg#L27
ANY,repo,README.md,-,19,35,35,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L13
AS,repo,README.md,-,19,35,35,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L12
BASIS,repo,README.md,-,19,35,35,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L12
CONDITIONS,repo,README.md,-,23,39,39,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L13
IS,repo,README.md,-,21,37,37,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/yarn.lock#L1
KIND,repo,README.md,-,19,35,35,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L13
LICENSE,repo,README.md,-,18,34,34,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L9
LLC,repo,README.md,-,6,6,6,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/src/lib/posenet/types.ts#L3
OF,repo,README.md,-,21,37,37,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L13
OR,repo,README.md,-,19,35,35,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L13
PoseNet,repo,README.md,-,44,44,44,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/src/locales/en.json#L46
PoseNetAdapter,repo,README.md,-,7,7,8,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/src/lib/PoseNetAdapter.js#L18
TensorFlow,repo,README.md,-,7,7,7,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/src/locales/en.json#L30
WARRANTIES,repo,README.md,-,19,35,35,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L13
WITHOUT,repo,README.md,-,19,35,35,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/vue.config.js#L13
a,repo,README.md,-,3027,3043,3042,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/yarn.lock#L1931
asteroid-group,repo,README.md,-,3,3,3,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/src/settings.js#L49
c,repo,README.md,-,472,472,472,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/yarn.lock#L1409
d,repo,README.md,-,212,212,211,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/yarn.lock#L1891
default,repo,README.md,-,78,78,77,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/yarn.lock#L136
e,repo,README.md,-,80,80,86,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/yarn.lock#L7176
g,repo,README.md,-,150,150,147,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/yarn.lock#L539
input-res,repo,README.md,-,3,3,5,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/README.md,https://github.com/google/poseshield-tfjs/blob/34d0f10479eb3b97b06821129c6309d184cf5f22/src/settings.js#L54
