code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
AMP_MODE,repo,README.md,-,5,5,5,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/routes/all.js#L31
HTML,repo,README.md,8,8,8,8,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/routes/all.js#L105
JSON,repo,README.md,17,17,17,17,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/views/header.ejs#L85
PWA,repo,README.md,4,4,4,3,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/views/site-navigation.ejs#L3
RENDER_MODE,repo,README.md,-,2,2,2,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/routes/all.js#L35
UPDATE_MODE,repo,README.md,-,2,2,2,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/routes/all.js#L39
ampMode,repo,README.md,4,4,4,5,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/views/footer.ejs#L6
googleSiteVerificationToken,repo,README.md,3,3,3,3,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/views/header.ejs#L7
renderMode,repo,README.md,11,11,11,11,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/views/footer.ejs#L8
updateMode,repo,README.md,7,7,7,7,https://github.com/google/indexable-pwa-samples/blob/826013a636474d7eca60eaf1cdf5664e6e2e374a/README.md,https://github.com/google/indexable-pwa-samples/blob/d63b4c627996c9275cd88729fca15511a00df307/views/footer.ejs#L10
