code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,doc_link,source_link
IntegerInputType,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,1,1,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/747dabe52b367f933b4c7867c68efbec598418da/tfrecorder/schema.py#L48
IntegerLabel,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,2,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L75
IntegerLabelType,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,-,2,2,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/747dabe52b367f933b4c7867c68efbec598418da/tfrecorder/schema.py#L65
RELEASE,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,1,1,1,1,1,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/.github/PULL_REQUEST_TEMPLATE.md#L34
SplitKey,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L46
SplitKeyType,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,-,2,2,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/747dabe52b367f933b4c7867c68efbec598418da/tfrecorder/schema.py#L42
StringLabel,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,3,3,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L80
StringLabelType,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,-,3,3,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/747dabe52b367f933b4c7867c68efbec598418da/tfrecorder/schema.py#L70
TEST,repo,README.md,.,.,.,-,-,-,-,-,-,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,9,9,9,9,9,9,11,11,11,11,11,22,22,22,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L49
TF,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,10,10,11,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/test_utils.py#L48
