code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
NEL,repo,README.md,.,0,0,0,1,8,8,9,9,9,9,9,9,12,13,13,13,13,13,13,13,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/nel-collector/blob/9b669a06eedbf053a01f7cdc822fea5d6c5c835d/README.md,https://github.com/google/nel-collector/blob/6f38d97d2d5cce5625e4c139cdf3c5580fa8914e/pkg/pipelinetest/pipelinetest.go#L16
URL,repo,README.md,.,0,0,0,0,10,12,12,12,12,20,30,33,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,38,38,38,38,38,42,42,42,42,42,https://github.com/google/nel-collector/blob/9b669a06eedbf053a01f7cdc822fea5d6c5c835d/README.md,https://github.com/google/nel-collector/blob/6f38d97d2d5cce5625e4c139cdf3c5580fa8914e/pkg/pipelinetest/pipelinetest.go#L95
