code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,doc_link,source_link
./run-tests.sh,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/088fd7c30cfab049ed781235ffd83833d36aa623/package.json#L28
ANY,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,36,36,37,37,38,38,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,49,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L11
AS,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,42,42,48,48,49,49,50,50,51,52,53,67,67,67,67,67,67,67,67,72,72,72,72,72,73,73,73,74,74,74,74,76,76,76,76,76,76,77,78,78,78,78,78,78,78,78,78,80,80,80,80,80,82,82,83,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L10
BASIC,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L1189
BASIS,repo,README.md,13,13,14,14,14,15,16,16,16,17,17,17,18,19,19,19,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,30,30,36,36,37,37,38,38,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,49,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L10
CIRCLE,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,10,10,10,10,10,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/examples/circles.html#L23
CONDITIONS,repo,README.md,15,15,16,16,16,17,18,18,18,19,19,19,20,21,21,21,21,21,22,22,23,23,23,23,24,24,25,25,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,32,32,38,38,39,39,40,40,41,42,43,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,50,51,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L11
DOCTYPE,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,16,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wip/nibbles.html#L16
FOR,repo,README.md,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,23,23,23,23,25,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,47,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,56,56,56,56,56,56,56,56,56,60,60,60,60,61,61,61,62,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/test/type-test.js#L73
GET,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/README.md,https://github.com/google/wwwbasic/blob/c828361dbf710d7f89edc1afa662751429542777/wwwbasic.js#L3257
