code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,doc_link,source_link
AMP,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,34,34,34,34,35,37,301,317,320,340,340,350,350,350,351,352,182,184,190,186,220,223,222,222,222,218,228,232,232,233,234,234,246,249,249,251,251,260,261,272,272,284,284,284,286,286,286,288,288,288,288,288,288,288,288,288,288,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L2
ANY,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,22,22,22,23,23,24,24,24,24,24,29,29,29,30,31,31,33,38,34,41,41,41,41,41,40,43,43,43,43,43,43,43,44,44,44,44,47,47,50,50,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L12
API,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/a3382205963efbe9275ae24ea13e6ca5843c5599/ssr/lib/TreeParser.js#L66
AS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,22,22,22,23,23,24,24,24,24,24,29,29,29,30,31,31,33,38,34,41,41,41,41,41,40,43,43,43,43,43,43,43,44,44,44,44,47,47,50,50,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L11
BASIS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,22,22,22,23,23,24,24,24,24,24,29,29,29,30,31,31,33,38,34,41,41,41,41,41,40,43,43,43,43,43,43,43,44,44,44,44,47,47,50,50,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L11
CONDITIONS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,24,24,24,24,25,25,26,26,26,26,26,31,31,31,32,33,33,35,40,36,43,43,43,43,43,42,45,45,45,45,45,45,45,46,46,46,46,49,49,52,52,58,58,58,58,58,58,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L12
HTML,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,24,24,24,24,25,25,35,35,35,35,35,40,40,40,41,43,37,39,44,40,48,48,48,48,49,48,51,51,51,51,51,51,51,52,52,52,52,55,55,58,58,64,64,64,64,64,64,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L2
IS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,22,22,22,23,23,24,24,24,24,24,29,29,29,30,31,31,33,38,34,41,41,41,41,41,40,43,43,43,43,43,43,43,44,44,44,44,47,47,50,50,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L11
KIND,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,22,22,22,23,23,24,24,24,24,24,29,29,29,30,31,31,33,38,34,41,41,41,41,41,40,43,43,43,43,43,43,43,44,44,44,44,47,47,50,50,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L12
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,22,22,22,23,23,24,24,24,24,24,29,29,29,30,31,31,33,38,34,41,41,41,41,41,40,43,43,43,43,43,43,43,44,44,44,44,47,47,50,50,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://github.com/google/amp-toolbox/blob/683bb96bd0d1451f391859bf9285f2d4bf29a92b/README.md,https://github.com/google/amp-toolbox/blob/b394dd40d2474d0020fe4a23b670fb192266d575/update-cache/spec/UpdateCacheUrlProviderSpec.js#L8
