code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,doc_link,source_link
.Site.Data,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/layouts/shortcodes/github-list-projects.html#L18
.github/workflows/gh-pages.yml,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,code_element is a file name
ACTIONS_DEPLOY_KEY,repo,README.md,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/.github/workflows/gh-pages.yml#L63
URL,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/layouts/articles/section.html#L16
YouTube,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/layouts/shortcodes/trillian-youtube.html#L17
author,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,7,7,7,5,5,5,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/layouts/articles/single.html#L16
cname,repo,README.md,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/.github/workflows/gh-pages.yml#L61
content/_index.html,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,code_element is a file name
content/application,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/content/application/discourage-misbehaviour-by-third-parties-in-certificate-transparency.html#L18
data/case_studies.json,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,code_element is a file name
data/example_projects.json,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,code_element is a file name
date,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/content/verifiable-data-structures.html#L47
display,repo,README.md,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/trillian-website/blob/8c8be8120679b2e6fadf0a9bd3afdb6ccc649bc6/README.md,https://github.com/google/trillian-website/blob/6e1a062fb21aacbc5186d4bc71c864f489a3fb3d/layouts/partials/head.html#L42
