code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
API,repo,README.md,-,7,18,18,18,18,18,18,18,18,12,12,12,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/14b1607c4e4691e362cb1118beb8a2f40c508f5a/Utilities.js#L20
CLIENT_ID,repo,README.md,-,5,5,5,5,5,5,5,5,5,-,-,-,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/bb2a03c1ad7f9b7ba524120570f853c6c089e611/Utilities.js#L100
CLIENT_SECRET,repo,README.md,-,5,5,5,5,5,5,5,5,5,-,-,-,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/bb2a03c1ad7f9b7ba524120570f853c6c089e611/Utilities.js#L101
CSV,repo,README.md,-,1,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/41a63ced76ca65a420c7f950d621e749b9d6bcb4/Utilities.js#L79
DBM,repo,README.md,-,3,11,11,12,12,12,12,12,12,9,1,1,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/14b1607c4e4691e362cb1118beb8a2f40c508f5a/Utilities.js#L51
DESTINATION,repo,README.md,-,1,7,7,9,9,9,9,9,9,9,9,9,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/14b1607c4e4691e362cb1118beb8a2f40c508f5a/Code.js#L62
DoubleClick,repo,README.md,-,1,1,1,1,1,1,1,1,1,0,0,0,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/bb2a03c1ad7f9b7ba524120570f853c6c089e611/Utilities.js#L71
ID,repo,README.md,-,2,4,4,7,7,7,7,7,7,4,4,4,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/14b1607c4e4691e362cb1118beb8a2f40c508f5a/Code.js#L93
ORIGIN,repo,README.md,-,2,7,7,11,11,11,11,11,11,11,11,11,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/14b1607c4e4691e362cb1118beb8a2f40c508f5a/Code.js#L61
SDF,repo,README.md,-,1,7,7,9,9,9,9,9,9,9,9,9,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/14b1607c4e4691e362cb1118beb8a2f40c508f5a/Utilities.js#L29
TO,repo,README.md,-,0,0,0,1,1,1,1,1,1,1,1,1,https://github.com/google/dbm-lineitem-copier/blob/cf7facac6a77e87c056053a69704d0d9c1b01b3e/README.md,https://github.com/google/dbm-lineitem-copier/blob/14b1607c4e4691e362cb1118beb8a2f40c508f5a/Code.js#L233
