code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,doc_link,source_link
API,repo,README.md,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,10,10,10,https://github.com/google/s2a-core/blob/99fe3cf39f9881f67bcc42dcded41a8384050c69/README.md,https://github.com/google/s2a-core/blob/30c3556c848c0486d6719b4bb11d7180d74cbb58/s2a/src/record_protocol/s2a_crypter.h#L52
BoringSSL,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/s2a-core/blob/99fe3cf39f9881f67bcc42dcded41a8384050c69/README.md,https://github.com/google/s2a-core/blob/30c3556c848c0486d6719b4bb11d7180d74cbb58/tools/internal_ci/run_cmake_build.sh#L37
OpenSSL,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,12,13,13,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,25,25,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,https://github.com/google/s2a-core/blob/99fe3cf39f9881f67bcc42dcded41a8384050c69/README.md,https://github.com/google/s2a-core/blob/30c3556c848c0486d6719b4bb11d7180d74cbb58/tools/internal_ci/run_tsan_tests.sh#L27
SSL,repo,README.md,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,8,8,8,https://github.com/google/s2a-core/blob/99fe3cf39f9881f67bcc42dcded41a8384050c69/README.md,https://github.com/google/s2a-core/blob/30c3556c848c0486d6719b4bb11d7180d74cbb58/tools/internal_ci/run_cmake_build.sh#L58
TLS,repo,README.md,-,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,https://github.com/google/s2a-core/blob/99fe3cf39f9881f67bcc42dcded41a8384050c69/README.md,https://github.com/google/s2a-core/blob/30c3556c848c0486d6719b4bb11d7180d74cbb58/s2a/src/test_util/s2a_test_data.h#L63
UPB,repo,README.md,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,https://github.com/google/s2a-core/blob/99fe3cf39f9881f67bcc42dcded41a8384050c69/README.md,https://github.com/google/s2a-core/blob/30c3556c848c0486d6719b4bb11d7180d74cbb58/s2a/src/record_protocol/s2a_upb_ticket_sender.cc#L44
mTLS,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/s2a-core/blob/99fe3cf39f9881f67bcc42dcded41a8384050c69/README.md,https://github.com/google/s2a-core/blob/30c3556c848c0486d6719b4bb11d7180d74cbb58/ABOUT.md#L4
