code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
ANY,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L147
AS,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L146
BASIS,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L146
CNS,repo,README.md,.,.,1,0,0,0,0,.,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/cef2511da27c448c816702caab9e287aaed07150/visibility.md#L127
CONDITIONS,repo,README.md,.,.,-,-,-,-,-,.,8,4,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L6
IS,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L146
KIND,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L147
LICENSE,repo,README.md,.,.,-,-,-,-,-,.,2,1,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L196
LOAS,repo,README.md,.,.,8,0,0,0,0,.,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/cef2511da27c448c816702caab9e287aaed07150/troubleshooting.md#L152
NOT,repo,README.md,.,.,3,0,0,0,0,.,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/cef2511da27c448c816702caab9e287aaed07150/flags.md#L16
OF,repo,README.md,.,.,-,-,-,-,-,.,6,3,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L147
OR,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L147
WARRANTIES,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L147
WITHOUT,repo,README.md,.,.,-,-,-,-,-,.,4,2,-,-,-,-,-,-,-,-,-,https://github.com/google/healthcare-text-annotation/blob/9e06c10cc6b61e2d0a2e87bcc870a19e48a91224/README.md,https://github.com/google/healthcare-text-annotation/blob/fa760fb1481535812fbd6decc2ebda5fb1e27530/LICENSE.txt#L147
