code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
ANY,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L12
AS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L11
BASIS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L11
CONDITIONS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,36,36,33,33,34,34,34,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L12
DCIM,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,4,4,4,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/app/src/main/java/com/hadrosaur/zsldemo/ImageUtils.kt#L78
IS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L11
KIND,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L12
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L8
LLC,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,32,32,29,29,30,30,30,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L2
OF,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,35,35,32,32,33,33,33,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L12
OR,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L12
TextureView,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/app/src/main/java/com/hadrosaur/zsldemo/TextureListener.kt#L20
WARRANTIES,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L12
WITHOUT,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,34,34,31,31,32,32,32,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/settings.gradle#L12
ZSL,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/app/src/main/res/values/strings.xml#L18
ZSLCoordinator,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/app/src/main/java/com/hadrosaur/zsldemo/ZSLCoordinator.kt#L30
ZSLDemo,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/README.md,https://github.com/google/zsldemo/blob/b1a87b40032f85027b25ab76308eae53b9a4d044/app/src/main/java/com/hadrosaur/zsldemo/MainActivity.kt#L44
