code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,doc_link,source_link
0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42659,42659,42659,42659,42680,42685,42686,42687,42686,42686,42686,42691,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/util/src-dep.pl#L55
1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28251,28251,28251,28251,28274,28281,28280,28280,28280,28284,28284,28295,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/util/tab_num.pl#L3
AES128,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,125,125,125,125,127,127,127,127,127,127,127,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/writeup.txt#L59
CONSTANT_TIME,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,9,9,9,9,9,9,9,9,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/crypto/rlwekex/rlwekex_locl.h#L9
ClientKeyExchange,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/ssl/s3_srvr.c#L2982
GCC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/util/pl/OS2-EMX.pl#L3
GCM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,107,107,107,107,107,107,107,107,107,107,107,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/writeup.txt#L59
LWE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/ssl/tls1.h#L531
OpenSSL,repo,README.md,0,0,9878,9878,9878,9878,9878,9878,9876,9876,9876,9876,9876,9876,9876,9876,9876,9876,9876,9876,9878,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/d9b61de7c59b1c6c7fd2936c6a1961c0be244e5b/openssl-lwekex/util/selftest.pl#L7
RSA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/writeup.txt#L59
SHA256,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,150,150,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/writeup.txt#L59
ServerHelloDone,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/apps/s_cb.c#L597
TLS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,632,632,632,632,632,632,632,632,632,632,632,632,https://github.com/google/jalic/blob/a44496a6e0b71f8b33be12c4db22095ef17b5e1f/README.md,https://github.com/google/jalic/blob/ea404c38c877378fb4a91d9f722b55934ad8973d/openssl-lwekex/writeup.txt#L36
