code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
/app,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/Dockerfile#L13
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/setup.py#L7
PreconfiguredObject,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/examples/03-environment/object.yaml#L3
UNRESOLVED_ENV_VAR__DEFAULT_VALUE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/examples/03-environment/README.md#L34
UNRESOLVED_ENV_VAR__OTHER_VALUE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/examples/03-environment/README.md#L36
VendoredObject,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/examples/03-environment/object.yaml#L1
YAML,repo,README.md,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/kasane/ops/update.py#L18
assertEqual(std.length(super.continers),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L8
checkContainerCount,repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L8
defaultFlag,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/examples/03-environment/object.yaml#L5
defaultFromKasanefile,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/examples/03-environment/object.yaml#L6
env(name),repo,README.md,0,0,0,0,0,0,0,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L46
function(i),repo,README.md,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L31
function(oldPort),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L17
istio,repo,README.md,3,3,3,3,3,3,3,3,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/kasane/ops/common.py#L30
jsonnetEnv,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/examples/03-environment/patch.jsonnet#L8
layers,repo,README.md,11,11,11,11,11,16,22,28,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/kasane/ops/update.py#L26
list,repo,README.md,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/kasane/ops/show.py#L33
list(h.named(layers),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/service.override.jsonnet#L5
list(objecthash),repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/helpers.libsonnet#L35
livenessProbe,repo,README.md,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/kasane/blob/bc81e9cfff3ffee6cb4ba55660f43e4fd7683fb4/README.md,https://github.com/google/kasane/blob/da5432e7b5630e9217f2802d71f7fd909d2ed74a/examples/04-complex-service/service.override.jsonnet#L22
