code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,doc_link,source_link
*,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6053,6053,6050,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/fe1b69fcdf42951cc130ce2b3e4f076ce575127e/windows/makefile#L57
0U,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,1,1,1,1,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/assert_macro.c#L36
0x0DA7ABA53,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,2,2,2,2,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/customer_database_test.c#L42
0xDA7ABA53,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,6,3,3,3,3,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/product_database_test.c#L38
CUSTOMERS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,1,1,1,1,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/customer_database.c#L37
DatabaseConnection,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,37,37,37,37,37,37,37,18,18,18,18,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/product_database_test.c#L22
FROM,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,2,2,2,2,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/customer_database.c#L37
ID,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,8,8,5,5,5,5,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/customer_database_test.c#L56
KeyValue,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,34,34,34,34,34,34,34,17,17,17,17,-,-,-,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/d340e1cc01cb10ee086ed927f50ae712bca78a5c/src/example/key_value_test.c#L24
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,https://github.com/google/cmockery/blob/1a6551788bca7206899e0042f35c774cbd59041d/README.md,https://github.com/google/cmockery/blob/399faa2654b7da1940bf6c0d74f14468b7059512/windows/makefile#L8
