code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
.vscode,repo,README.md,4,4,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/tsconfig.json#L19
.vscode/launch.json,repo,README.md,1,1,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,code_element is a file name
.vscode/settings.json,repo,README.md,1,1,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,code_element is a file name
3Ezxdb,repo,README.md,0,0,1,1,1,1,1,1,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/007084075f49938165694054ff5de1e0d19da90b/package.json#L18
F5,repo,README.md,3,3,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/zxdb-extension-development-guide.md#L29
VS,repo,README.md,-,-,21,21,21,21,21,21,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/007084075f49938165694054ff5de1e0d19da90b/zxdb-extension-development-guide.md#L37
VSCode,repo,README.md,1,1,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/zxdb-extension-development-guide.md#L53
command:EnterLaunchCommand,repo,README.md,4,4,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/extension.ts#L157
command:PickProcess,repo,README.md,9,9,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/extension.ts#L156
get_fuchsia_source,repo,README.md,0,0,1,1,1,1,1,1,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/007084075f49938165694054ff5de1e0d19da90b/TROUBLESHOOTING.md#L25
launch.json,repo,README.md,-,-,4,5,5,5,5,5,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/007084075f49938165694054ff5de1e0d19da90b/src/extension.ts#L102
launchCommand,repo,README.md,6,6,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/extension.ts#L157
name,repo,README.md,44,36,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/zxdb-extension-development-guide.md#L45
process,repo,README.md,38,34,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/test/runTest.ts#L32
settings.json,repo,README.md,1,1,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,code_element is a file name
zxdb,repo,README.md,55,56,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/zxdb-extension-development-guide.md#L1
zxdb..,repo,README.md,1,1,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/extension.ts#L145
zxdb.command,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/extension.ts#L32
zxdb.debug,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/log.ts#L18
zxdb.timeout,repo,README.md,2,2,-,-,-,-,-,-,https://github.com/google/vscode-zxdb/blob/45b07c704380221a9a67dcf83c770adfa21f4a64/README.md,https://github.com/google/vscode-zxdb/blob/ee19929e95386d98e0b50c0810335436942a528a/src/extension.ts#L62
