code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,doc_link,source_link
.unitypackage,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/build.gradle#L100
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,12,12,12,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Tests/Editor/BuildSettingsWindowTests.cs#L96
APK,repo,README.md,0,0,9,10,10,10,10,10,12,12,30,37,37,38,38,38,38,38,38,38,38,37,37,37,38,38,38,38,38,38,37,37,39,39,37,37,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,40,40,41,41,41,41,41,40,40,40,40,40,40,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Samples/TestApp/Editor/TestAppBuilder.cs#L47
AndroidManifest,repo,README.md,0,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Tests/Editor/AndroidManifest/AndroidManifestHelperTests.cs#L19
AssetBundle,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/LoadingScreen/Scripts/LoadingScreen.cs#L24
Assets/GooglePlayInstant,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/build.gradle#L55
BuildPlayer,repo,README.md,0,0,0,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Editor/PostBuildCommandLineDialog.cs#L23
CookieApi,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/f73453a40295aca5f8bb042c7baf33054a9d6ba2/GooglePlayInstant/Samples/TestApp/Scripts/TestApp.cs#L64
"GetPostInstallIntentStringExtra(""payload"")",repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/e52d71fda8302e112c2615a6c10b933313e59214/GooglePlayInstant/InstallLauncher.cs#L37
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/README.md,https://github.com/google/play-instant-unity-plugin/blob/9e99f90c2dcbd3695b7ad74390849326a4ea75b6/GooglePlayInstant/Editor/PluginUpdateWindow.cs#L24
