code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
2Cin,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,1,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/docs/retailer_get_started.md#L8
API,repo,README.md,-,0,0,2,2,4,4,4,4,4,4,4,4,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/src/brand/cloud_function/main.py#L34
BigQuery,repo,README.md,-,9,9,23,23,36,36,36,36,35,35,35,38,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/src/retailer/retailer_setup_GA4.sql#L18
ETL,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/docs/retailer_get_started.md#L54
GB,repo,README.md,-,0,0,3,3,5,5,5,5,5,5,5,5,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/src/brand/cloud_function/main.py#L4
GCLID,repo,README.md,-,1,4,4,4,4,4,4,4,4,4,4,7,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/src/retailer/retailer_setup_GA4.sql#L147
LLC,repo,README.md,-,8,8,9,9,10,10,10,10,3,3,3,4,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/src/retailer/retailer_setup_GA4.sql#L1
SQL,repo,README.md,-,3,4,4,4,4,4,4,4,3,3,3,3,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/docs/retailer_get_started.md#L39
URL,repo,README.md,-,0,0,0,0,1,1,1,1,2,2,2,2,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/docs/retailer_get_started.md#L26
UTM,repo,README.md,-,4,4,4,4,4,4,4,4,2,2,2,3,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/src/retailer/retailer_setup_GA4.sql#L136
get_started,repo,README.md,-,2,2,2,2,-,-,-,-,-,-,-,-,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/9e5cacdb230e2ca0e290a42499598e29b6747a47/src/retailer/02_create_analytics_view.sql#L19
ref_topic,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/README.md,https://github.com/google/coop-analytics/blob/ce549776f9b1732c25da071014cd0c9b74ef8abd/docs/retailer_get_started.md#L8
