code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
BottomAdjustment,repo,README.md,-,-,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L92
BottomLeft,repo,README.md,-,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L79
BottomLeftAdjustment,repo,README.md,-,-,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L90
BottomRight,repo,README.md,-,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L81
BottomRightAdjustment,repo,README.md,-,-,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L94
FineAdjustmentMessage,repo,README.md,-,-,0,0,11,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L38
FocusOnTop,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L55
LICENSE,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L7
LayoutClass,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L28
LayoutModifier,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/FocusOnTop.hs#L20
LeftAdjustment,repo,README.md,-,-,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L96
RightAdjustment,repo,README.md,-,-,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L98
SnapLayout,repo,README.md,21,21,21,27,34,34,34,38,43,44,44,44,45,46,46,46,46,46,46,50,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L19
TopAdjustment,repo,README.md,-,-,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L102
TopLeft,repo,README.md,-,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L84
TopLeftAdjustment,repo,README.md,-,-,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L100
TopRight,repo,README.md,-,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L86
TopRightAdjustment,repo,README.md,-,-,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L104
Window,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L229
adjustmentDelta,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L70
controlMask,repo,README.md,4,8,8,8,12,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L79
focusOnTop,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L59
layoutHook,repo,README.md,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,8,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L57
myLayout,repo,README.md,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L59
sendMessage,repo,README.md,4,8,8,8,12,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L79
shiftMask,repo,README.md,-,-,0,0,4,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L89
snapLayout,repo,README.md,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,9,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L59
withFocused,repo,README.md,4,8,8,8,12,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L79
xK_KP_Down,repo,README.md,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L80
xK_KP_End,repo,README.md,-,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L79
xK_KP_Home,repo,README.md,-,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L84
xK_KP_Insert,repo,README.md,-,-,-,-,-,-,-,1,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L87
