code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,doc_link,source_link
.build(),repo,README.md,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L159
API,repo,README.md,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L46
Counter,repo,README.md,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/metrics/src/test/java/com/google/monitoring/metrics/MetricReporterTest.java#L47
Counters,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L97
DistributionFitter,repo,README.md,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/main/java/com/google/monitoring/metrics/stackdriver/StackdriverWriter.java#L45
EventMetric,repo,README.md,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L28
IncrementableMetric,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L29
JVM,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L50
LabelDescriptor,repo,README.md,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/stackdriver/StackdriverWriterTest.java#L46
MetricRegistryImpl.getDefault(),repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/java-monitoring-client-library/blob/bd528650ce30840b8df618e006205955d4c1158c/README.md,https://github.com/google/java-monitoring-client-library/blob/2a437430a999cd8c6bc01adeedff35dbffd3bf8c/stackdriver/src/test/java/com/google/monitoring/metrics/example/SheepCounterExample.java#L101
