code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,doc_link,source_link
BlockIo,repo,README.md,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/gpt_disk_io/tests/test_disk.rs#L23
CRC32,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/gpt_disk_types/src/partition_array.rs#L243
GPT,repo,README.md,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/README.md#L7
GUID,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,13,13,13,13,24,16,16,17,17,17,17,17,17,18,19,19,19,19,19,19,19,19,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/tests/test_uguid.rs#L32
IO,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/gpt_disk_io/src/lib.rs#L16
LICENSE,repo,README.md,34,34,34,34,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,42,42,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/tests/test_uguid.rs#L7
UEFI,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,30,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/src/lib.rs#L16
block.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
block_io.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
crc32.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
disk.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
gpt_disk_io,repo,README.md,11,11,11,11,18,18,18,18,18,18,18,19,19,19,19,22,22,22,22,22,22,22,22,22,22,23,23,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/README.md#L10
gpt_disk_io/tests,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/gpt_disk_io/tests/test_disk.rs#L38
gpt_disk_types,repo,README.md,29,29,29,29,36,36,36,36,36,36,36,36,36,36,36,37,39,40,40,40,40,40,40,40,40,40,40,40,43,45,45,45,45,45,45,46,48,51,51,51,51,51,46,45,45,45,47,47,47,47,47,47,47,47,47,47,48,48,48,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/gpt_disk_types/src/lib.rs#L58
guid.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
header.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
mbr.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
no_std,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/src/lib.rs#L76
num.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
partition_array.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
partition_entry.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
slice_block_io.rs,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
std,repo,README.md,56,63,63,63,63,63,63,63,63,63,63,63,62,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,67,65,65,67,67,67,67,67,67,67,69,69,67,67,67,67,67,67,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/src/lib.rs#L25
std_support.rs,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,code_element is a file name
uguid,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,19,19,19,19,19,20,20,20,20,20,21,21,21,https://github.com/google/gpt-disk-rs/blob/8757446b8039dd22edf6cb2d0e9732d12b437ec5/README.md,https://github.com/google/gpt-disk-rs/blob/b16cb837f5f317fb8c37ee80853217f7201e8c5d/uguid/tests/test_uguid.rs#L18
