code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
--config=enc-sim,repo,README.md,.,3,3,3,3,3,4,4,-,-,-,-,-,-,-,-,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/be6fd99e8fa0a393eaa95d182190e7ee54ccc02b/quickstart/README.md#L404
--config=sgx,repo,README.md,.,2,2,2,2,2,3,7,11,13,12,12,-,-,-,-,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/bb1e6e086964e0770da53d953cebb8a61672f70b/sqlite/README.md#L196
--config=sgx-sim,repo,README.md,.,-,-,-,-,-,-,-,14,15,15,16,-,-,-,-,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/bb1e6e086964e0770da53d953cebb8a61672f70b/sqlite/README.md#L141
--device=/dev/isgx,repo,README.md,.,2,2,2,2,2,2,4,4,6,6,6,6,6,6,6,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L191
--rm,repo,README.md,.,3,3,3,3,3,4,6,6,7,7,7,7,7,7,7,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L139
-it,repo,README.md,.,1,1,1,1,1,2,4,13,14,14,14,14,14,14,14,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L139
-v,repo,README.md,.,10,10,10,10,10,12,17,35,38,38,38,38,38,38,38,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L140
-w,repo,README.md,.,3,3,3,3,3,5,8,17,18,18,18,18,18,18,18,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L142
.bazelrc,repo,README.md,.,4,4,4,4,4,7,10,10,10,10,10,10,10,10,10,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L103
/opt/asylo/sdk,repo,README.md,.,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/remote/quickstart/build.sh#L12
/opt/my-project,repo,README.md,.,6,6,6,6,6,8,12,12,14,14,14,14,14,14,14,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L140
/root/.cache/bazel,repo,README.md,.,3,3,3,3,3,4,6,6,7,7,7,7,7,7,7,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sqlite/README.md#L141
ANY,repo,README.md,.,-,-,-,-,-,-,-,60,63,63,66,66,66,66,66,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/secure_grpc/translator_server_impl.h#L13
API,repo,README.md,.,-,-,-,-,-,-,-,0,1,1,2,2,2,2,2,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/java/quickstart_client/README.md#L124
AS,repo,README.md,.,-,-,-,-,-,-,-,60,63,63,66,66,66,66,66,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/secure_grpc/translator_server_impl.h#L12
ASYLO_SDK,repo,README.md,.,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/remote/quickstart/build.sh#L5
BASIS,repo,README.md,.,-,-,-,-,-,-,-,60,63,63,66,66,66,66,66,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/secure_grpc/translator_server_impl.h#L12
CONDITIONS,repo,README.md,.,-,-,-,-,-,-,-,62,65,65,68,68,68,68,68,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/secure_grpc/translator_server_impl.h#L13
INSTALL,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/asylo-examples/blob/e1e493aef4610ce7a7465758756acceb23356f17/README.md,https://github.com/google/asylo-examples/blob/89bdc29a58203b5a057d6bd6687dc2ca1c47ff20/sgx_release_enclaves/README.md#L33
