code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
@Component,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular-directed-graph/blob/370ffb3c863b8a590691cc04855ba7580461515e/README.md,https://github.com/google/angular-directed-graph/blob/ba00cbe23b76c3109d0c1eb27315bbeb0ad46d59/graph_component.ts#L167
Edge,repo,README.md,47,47,47,47,47,47,47,47,47,47,47,https://github.com/google/angular-directed-graph/blob/370ffb3c863b8a590691cc04855ba7580461515e/README.md,https://github.com/google/angular-directed-graph/blob/ba00cbe23b76c3109d0c1eb27315bbeb0ad46d59/paths.ts#L18
Node,repo,README.md,61,61,61,61,61,61,62,62,62,62,62,https://github.com/google/angular-directed-graph/blob/370ffb3c863b8a590691cc04855ba7580461515e/README.md,https://github.com/google/angular-directed-graph/blob/ba00cbe23b76c3109d0c1eb27315bbeb0ad46d59/paths.ts#L18
SVG,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/angular-directed-graph/blob/370ffb3c863b8a590691cc04855ba7580461515e/README.md,https://github.com/google/angular-directed-graph/blob/ba00cbe23b76c3109d0c1eb27315bbeb0ad46d59/paths.ts#L59
model.ts,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/angular-directed-graph/blob/370ffb3c863b8a590691cc04855ba7580461515e/README.md,https://github.com/google/angular-directed-graph/blob/ba00cbe23b76c3109d0c1eb27315bbeb0ad46d59/BUILD#L27
