code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
.buildForStrings(),repo,README.md,-,-,-,-,8,8,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/javatests/com/google/zetasketch/testing/HyperLogLogPlusPlusSubjectTest.java#L42
ANY,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L12
AS,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L11
BASIS,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L11
CONDITIONS,repo,README.md,61,61,61,61,61,61,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L12
GitHub,repo,README.md,-,-,-,-,1,1,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/CONTRIBUTING.md#L21
HLL,repo,README.md,-,-,-,-,37,37,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/proto/hllplus-unique.proto#L33
HyperLogLog,repo,README.md,26,26,26,26,26,26,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/proto/annotation.proto#L28
HyperLogLogPlusPlus,repo,README.md,-,-,-,-,151,151,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/proto/hllplus-unique.proto#L17
HyperLogLogPlusPlus.Builder(),repo,README.md,-,-,-,-,29,29,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/javatests/com/google/zetasketch/testing/HyperLogLogPlusPlusSubjectTest.java#L36
HyperLogLogPlusPlus<String>,repo,README.md,-,-,-,-,15,15,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/javatests/com/google/zetasketch/testing/HyperLogLogPlusPlusSubjectTest.java#L42
IS,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L11
KIND,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L12
LICENSE,repo,README.md,59,60,60,60,60,60,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L8
OF,repo,README.md,60,60,60,60,60,60,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L12
OR,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L12
WARRANTIES,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L12
WITHOUT,repo,README.md,59,59,59,59,59,59,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/settings.gradle#L12
ZetaSketch,repo,README.md,0,2,2,2,2,2,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/build.gradle#L139
normalPrecision(13),repo,README.md,-,-,-,-,4,4,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/javatests/com/google/zetasketch/HyperLogLogPlusPlusTest.java#L741
pc916Z,repo,README.md,14,14,14,14,-,-,https://github.com/google/zetasketch/blob/a2f2692fae8cf61103330f9f70e696c4ba8b94b0/README.md,https://github.com/google/zetasketch/blob/f8d553b10d9f91189a4d6e085da4706781d21308/proto/hllplus-unique.proto#L35
