code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,doc_link,source_link
ANGLE,repo,README.md,-,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/scripts/install.js#L66
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/binding/webgl_rendering_context.cc#L1528
Debug,repo,README.md,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/60815a2dfd468a95f35e33b50b56aaf0fc074008/binding.gyp#L20
ES,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/binding/webgl_rendering_context.cc#L4080
Float32Array,repo,README.md,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,19,19,19,19,19,19,19,19,12,12,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/test_utils.ts#L38
OS,repo,README.md,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/scripts/install.js#L36
OpenGL,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/binding/webgl_rendering_context.cc#L4080
Uint8Array,repo,README.md,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/unsigned_byte_texture_upload_test.ts#L15
WebGL,repo,README.md,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/binding/webgl_rendering_context.cc#L421
WebGL2RenderingContext,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/old_texture_test.ts#L4
WebGLRenderingContext,repo,README.md,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,195,230,262,262,272,276,280,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/test_utils.ts#L24
"bindTexture(gl.TEXTURE_2D, texture)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/unsigned_byte_texture_upload_test.ts#L13
createWebGLRenderingContext(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/unsigned_byte_texture_upload_test.ts#L5
gl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/unsigned_byte_texture_upload_test.ts#L5
gl.createTexture(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/test_utils.ts#L58
"texParameteri(gl.TEXTURE_2D, gl.TEXTURE_WRAP_S, gl.CLAMP_TO_EDGE)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/test_utils.ts#L60
"texParameteri(gl.TEXTURE_2D, gl.TEXTURE_WRAP_T, gl.CLAMP_TO_EDGE)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/src/tests/test_utils.ts#L61
yarn,repo,README.md,2,2,2,5,5,5,5,5,5,5,5,5,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/node-gles/blob/f11c224bccd3405a3174cee1dd2bfb193c3653f5/README.md,https://github.com/google/node-gles/blob/b4cb488f580888d13c603cba38f692441ec4fc69/yarn.lock#L2
