code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
ANY,repo,README.md,77,77,77,77,77,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/test.sh#L12
AS,repo,README.md,77,77,77,77,77,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/test.sh#L11
AUTOMOUNT_SERVICE_ACCOUNT_TOKEN_ENABLED,repo,README.md,2,2,2,2,2,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/src/main/java/com/google/gke/auditor/Main.java#L120
BASIS,repo,README.md,77,77,77,77,77,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/test.sh#L11
CIS,repo,README.md,14,14,14,14,14,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/src/main/java/com/google/gke/auditor/configs/rbac/WildcardUsed.java#L26
CLUSTER_ADMIN_ROLE_USED,repo,README.md,5,5,5,5,5,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/src/test/java/com/google/gke/auditor/configs/rbac/ClusterAdminRoleUsedTest.java#L47
CONDITIONS,repo,README.md,79,79,79,79,79,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/test.sh#L12
CONTAINERS_ADDED_CAPABILITIES,repo,README.md,5,5,5,5,5,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/src/test/java/com/google/gke/auditor/configs/psp/AddedCapabilitiesTest.java#L48
CONTAINERS_ALLOW_PRIVILEGE_ESCALATION,repo,README.md,2,2,2,2,2,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/src/main/java/com/google/gke/auditor/Main.java#L148
CONTAINERS_CAPABILITIES_ASSIGNED,repo,README.md,5,5,5,5,5,https://github.com/google/gke-auditor/blob/39b84e0605b7c2dac9870e21a00ecbc960d1a22c/README.md,https://github.com/google/gke-auditor/blob/d0e324def5a9b691c13a441190b89d4e967f57f0/src/test/java/com/google/gke/auditor/configs/psp/CapabilitiesAssignedTest.java#L49
