code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
AND,repo,README.md,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/LICENSE#L6
API,repo,README.md,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L5
APIS,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L33
CSV,repo,README.md,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/frontend/javascripts/app.js#L333
Credentials,repo,README.md,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/frontend/javascripts/app.js#L218
DCM,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L34
DFA,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L34
ENABLE,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L33
HTTP,repo,README.md,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/frontend/partials/settings.html#L15
ID,repo,README.md,9,12,12,12,12,12,12,12,12,12,12,14,14,14,14,13,13,13,13,13,13,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/samples/sample.csv#L1
