code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,doc_link,source_link
:entity,repo,README.md,.,.,-,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/0591343c340f7ca08652e317fb7d79704c2aeb02/server/routes/index.ts#L75
:id,repo,README.md,.,.,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/ab868ae187718b361e95bf38bfb942b39e42a074/server/routes/index.ts#L57
ANY,repo,README.md,.,.,-,67,67,67,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,123,123,123,133,133,133,131,131,135,135,135,133,133,133,134,134,134,134,132,132,132,132,132,132,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,161,161,161,161,161,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L9
API,repo,README.md,.,.,-,2,2,2,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/ab868ae187718b361e95bf38bfb942b39e42a074/server/agents/source-agents/open-weather-map/open-weather-map.ts#L21
AS,repo,README.md,.,.,-,70,70,70,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,126,126,126,136,136,136,134,134,138,138,138,136,136,136,137,137,137,137,135,135,135,135,135,135,136,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,139,139,164,164,164,164,164,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L8
BASIS,repo,README.md,.,.,-,67,67,67,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,123,123,123,133,133,133,131,131,135,135,135,133,133,133,134,134,134,134,132,132,132,132,132,132,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,161,161,161,161,161,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L8
CONDITIONS,repo,README.md,.,.,-,67,67,67,63,63,63,63,63,63,63,63,63,63,63,63,63,63,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,123,123,123,133,133,133,131,131,135,135,135,133,133,133,134,134,134,134,132,132,132,132,132,132,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,161,161,161,161,161,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L9
GET,repo,README.md,.,.,-,0,0,0,1,2,2,2,2,2,2,2,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/ab868ae187718b361e95bf38bfb942b39e42a074/server/agents/target-agents/dv360-ads/interfaces.ts#L95
ID,repo,README.md,.,.,-,0,0,0,5,5,5,5,5,5,5,6,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/setup/post-create.sh#L3
IS,repo,README.md,.,.,-,67,67,67,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,123,123,123,133,133,133,131,131,135,135,135,133,133,133,134,134,134,134,132,132,132,132,132,132,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,161,161,161,161,161,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L8
JSON,repo,README.md,.,.,-,4,4,4,14,14,14,15,16,16,16,16,16,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/ab868ae187718b361e95bf38bfb942b39e42a074/server/services/repository-service.ts#L31
KIND,repo,README.md,.,.,-,67,67,67,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,123,123,123,133,133,133,131,131,135,135,135,133,133,133,134,134,134,134,132,132,132,132,132,132,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,161,161,161,161,161,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L9
LICENSE,repo,README.md,.,.,-,69,69,69,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,125,125,125,135,135,135,133,133,137,137,137,135,135,135,136,136,136,136,134,134,134,134,134,134,135,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,138,138,163,163,163,163,163,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L6
LLC,repo,README.md,.,.,-,68,68,68,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,124,124,124,134,134,134,132,132,136,136,136,134,134,134,135,135,135,135,133,133,133,133,133,133,134,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,137,137,162,162,162,162,162,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L2
OF,repo,README.md,.,.,-,67,67,67,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,123,123,123,133,133,133,131,131,135,135,135,133,133,133,134,134,134,134,132,132,132,132,132,132,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,136,161,161,161,161,161,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L9
OR,repo,README.md,.,.,-,69,69,69,45,45,45,45,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,126,126,129,139,139,139,137,137,141,141,141,139,139,139,140,140,140,140,138,138,138,138,138,138,139,143,143,143,143,143,143,143,143,142,142,142,142,142,139,139,139,139,139,139,139,139,139,139,139,139,138,138,163,163,163,163,163,https://github.com/google/if-this-then-ad/blob/6d4ae81a6d4ccd19632a1bbf9f93d425409b8d0a/README.md,https://github.com/google/if-this-then-ad/blob/a9bcbc1bcba02489f549b82a421f6ec5c302516b/server/util/logger.ts#L9
