code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,doc_link,source_link
ACCESS,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/2ce9ad2e45cec6d3a91292b4ef1bddb3c9743463/docs/GUIDE.md#L12
CLI,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/2ce9ad2e45cec6d3a91292b4ef1bddb3c9743463/docs/TAGS.md#L32
CONCEPTS,repo,README.md,17,17,17,17,18,18,18,18,18,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,20,20,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/2ce9ad2e45cec6d3a91292b4ef1bddb3c9743463/examples/go_quickstore/example_test.go#L57
GUIDE,repo,README.md,14,14,14,14,15,15,15,15,15,5,5,5,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/2ce9ad2e45cec6d3a91292b4ef1bddb3c9743463/go/internal/quickstore_microservice/BUILD#L75
STORAGE_LIBRARY,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/2ce9ad2e45cec6d3a91292b4ef1bddb3c9743463/docs/TAGS.md#L89
examples/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/2ce9ad2e45cec6d3a91292b4ef1bddb3c9743463/docs/GUIDE.md#L382
mako_examples,repo,README.md,7,7,7,7,7,7,7,7,7,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/ceed2886cfc6a08df913003cbc951284615b98f7/docs/THRESHOLD_ANALYZER.md#L43
mako_examples/,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mako/blob/8028f963e8160b40dd243b059d74d987522accb4/README.md,https://github.com/google/mako/blob/ceed2886cfc6a08df913003cbc951284615b98f7/docs/GUIDE.md#L342
