code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,doc_link,source_link
ComposeKey,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/composekey/options.html#L4
Ctrl+Space,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/lushootseed/README.md#L23
EN,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/lushootseed/README.md#L24
GitHub,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,3,3,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/example/README.md#L32
OS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,18,19,18,18,22,22,22,22,22,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,34,37,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/ukrainian-phonetic/manifest.json#L2
PO,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/bepo/bepoxkb/manifest.json#L16
UK,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/ukextended/manifest.json#L17
US,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,54,https://github.com/google/extra-keyboards-for-chrome-os/blob/af3d693fa18c76c2e0161267d5b3b8624c621d83/README.md,https://github.com/google/extra-keyboards-for-chrome-os/blob/4d7b978a8e2852ff53947b29a11fc99a0352b614/lushootseed/manifest.json#L23
