code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
./data/selfplay_out_dir,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/evaluate.sh#L55
AirDialogue,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/rnn_decoder/basic_decoder.py#L14
SP_DISTRIBUTED,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/utils/dialogue_utils.py#L41
TRAINEVAL,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/utils/dialogue_utils.py#L38
airdialogue_data,repo,README.md,-,-,-,6,6,6,6,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/download.sh#L19
airdialogue_model_tf,repo,README.md,3,3,4,3,3,4,4,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/evaluate.sh#L66
dev_data,repo,README.md,-,-,-,-,-,10,10,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/gen_syn.sh#L77
dev_inference_out,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/evaluate.sh#L68
dev_kb,repo,README.md,-,-,-,-,-,10,10,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/gen_syn.sh#L78
dev_selfplay_out,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/evaluate.sh#L74
input_dir,repo,README.md,29,29,27,29,29,27,27,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/scripts/evaluate.sh#L29
num_gpus,repo,README.md,42,42,43,42,42,43,43,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/self_play.py#L250
num_layers,repo,README.md,33,33,33,33,33,33,33,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/rnn_decoder/multi_rnn.py#L99
num_units,repo,README.md,36,36,36,36,36,36,36,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/model_helper.py#L405
out_dir,repo,README.md,68,68,68,68,68,72,72,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/utils/misc_utils.py#L106
pred_data,repo,README.md,0,0,1,0,0,0,0,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/89be0af51e57e7d4246dae9a9b12dec2d8aba6d5/scripts/cl_infer_score.sh#L1
self_play_pretrain_dir,repo,README.md,14,14,14,14,14,14,14,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/self_play.py#L131
task_type,repo,README.md,22,22,24,23,23,24,24,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/README.md,https://github.com/google/airdialogue_model/blob/3de23e9ef5b4b6bfbfa41caf7b0fa2cc2b139458/self_play.py#L264
